RK,PLAYER,POS,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD,YEAR
NA,Daryl Worley, CB,CAR,9,27,36,0.0,0,8,0,0,0,0,0,0,0,2017
NA,Marshon Lattimore, CB,NO,5,31,36,0.0,0,9,2,52,27,1,1,0,0,2017
249,Domata Peko Sr., DT,DEN,12,23,35,1.0,5,0,0,0,0,0,0,1,0,2017
NA,Clay Matthews, LB,GB,10,25,35,6.0,47,2,0,0,0,0,1,1,0,2017
NA,
NA,Jonathan Casillas, LB,NYG,10,25,35,0.0,0,1,0,0,0,0,0,0,0,2017
NA,Ndamukong Suh, DT,MIA,14,21,35,3.5,15,1,0,0,0,0,2,0,0,2017
NA,Richard Sherman, CB,SEA,10,25,35,0.0,0,7,2,20,19,0,0,0,0,2017
NA,Chris Harris Jr., CB,DEN,8,27,35,0.0,0,6,2,36,23,0,0,0,0,2017
NA,Kayvon Webster, CB,LAR,4,31,35,0.0,0,6,0,0,0,0,0,0,0,2017
NA,Bradley Roby, CB,DEN,5,30,35,0.0,0,15,1,0,0,0,1,1,0,2017
NA,Miles Killebrew, S,DET,6,29,35,0.0,0,5,1,35,35,1,1,0,0,2017
NA,Briean Boddy-Calhoun, S,CLE,11,24,35,0.0,0,6,0,0,0,0,0,0,0,2017
NA,Will Parks, S,DEN,8,27,35,0.0,0,2,0,0,0,0,0,0,0,2017
260,Brian Orakpo, LB,TEN,12,22,34,5.0,50,2,0,0,0,0,3,0,0,2017
NA,
NA,Shareece Wright, CB,BUF,5,29,34,0.0,0,4,0,0,0,0,1,0,0,2017
NA,Johnathan Cyprien, S,TEN,11,23,34,0.0,0,1,0,0,0,0,0,0,0,2017
NA,Stacy McGee, DT,WSH,17,17,34,0.0,0,1,0,0,0,0,0,0,0,2017
NA,Lamarcus Joyner, S,LAR,7,27,34,0.0,0,9,3,104,46,1,0,0,0,2017
NA,Kevin Pierre-Louis, LB,KC,8,26,34,0.0,0,0,0,0,0,0,0,0,0,2017
NA,Bashaud Breeland, CB,WSH,7,27,34,0.0,0,13,0,0,0,0,0,0,0,2017
NA,Anthony Zettel, DT,DET,7,27,34,6.5,46,0,0,0,0,0,1,1,0,2017
NA,Reggie Ragland, LB,KC,9,25,34,0.0,0,0,0,0,0,0,0,0,0,2017
NA,Leonard Floyd, LB,CHI,10,24,34,4.5,31,2,0,0,0,0,0,1,0,2017
270,Michael Bennett, DE,SEA,12,21,33,7.5,51,1,0,0,0,0,0,0,0,2017
NA,
NA,Allen Bailey, DE,KC,15,18,33,2.0,8,0,0,0,0,0,0,0,0,2017
NA,Mario Addison, DE,CAR,12,21,33,8.5,60,0,0,0,0,0,1,0,0,2017
NA,Josh Bynes, LB,ARI,3,30,33,1.0,2,2,0,0,0,0,3,0,0,2017
